Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,74.25,73.50,156.2636,26.77
2,84.40,75.00,84.1129,26.71
3,87.15,73.50,67.3960,26.69
4,89.30,73.00,58.6002,26.70
5,91.60,73.50,48.4884,26.74
6,92.83,75.50,41.9289,26.75
7,93.38,76.50,37.1945,26.70
8,94.65,77.50,31.3658,26.67
9,95.23,76.00,28.7582,26.68
10,96.20,76.00,25.0860,26.72
11,96.53,77.50,22.7444,26.70
12,97.15,78.50,20.3143,26.69
13,97.28,78.00,17.4585,26.69
14,97.72,79.00,15.6148,26.66
15,97.60,78.00,15.4778,26.68
16,97.82,79.00,14.7038,26.70
17,97.78,78.00,14.2911,26.69
18,98.38,78.50,11.7274,26.70
19,98.47,79.00,11.6336,26.72
