Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,51.95,55.15,63.5697,32.99
2,62.56,57.21,43.4097,32.99
3,66.86,58.19,38.6627,32.97
4,69.61,61.06,35.3189,32.97
5,71.44,61.95,32.1727,33.00
6,75.75,61.95,29.0328,32.87
7,76.09,62.67,28.4226,32.92
8,76.72,63.03,26.3437,32.97
9,78.27,64.91,24.5542,32.90
10,79.42,63.83,24.5469,32.90
11,80.50,65.00,23.4357,32.99
12,81.19,64.91,22.6063,32.88
13,82.86,65.26,20.8635,32.95
14,82.86,66.07,20.5756,33.07
15,83.94,66.07,19.4205,33.17
16,83.94,66.97,19.5570,33.14
17,85.21,67.05,18.6536,33.07
18,85.84,67.50,17.3126,33.11
19,85.09,68.13,17.3371,33.05
20,87.04,66.16,16.2260,33.04
