Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,51.78,59.89,69.1232,29.72
2,67.60,63.29,37.2797,29.81
3,73.05,63.92,31.4913,29.77
4,77.06,64.73,27.0166,29.77
5,79.42,65.44,24.4218,29.75
6,80.91,66.16,22.7823,29.78
7,83.08,67.41,21.4250,29.63
8,85.15,67.23,19.8064,29.62
9,84.35,66.79,18.7158,29.73
10,86.64,67.77,16.5820,29.65
11,86.93,67.14,16.2030,29.76
12,87.79,67.32,14.9865,29.78
13,88.19,68.31,14.4229,29.70
14,90.08,68.67,13.0316,29.68
15,89.85,68.67,12.9861,29.81
16,91.34,68.31,11.5006,29.81
17,92.03,69.02,11.0423,29.77
18,92.14,69.38,10.4760,29.84
19,92.72,69.29,9.7909,29.75
20,92.89,70.46,9.2479,29.79
