Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,54.14,58.15,106.4032,12.42
2,68.89,62.36,60.2265,12.34
3,74.09,64.33,49.5411,12.41
4,75.56,64.33,46.0765,12.38
5,80.20,64.04,39.1890,12.32
6,81.60,67.42,36.6506,12.32
7,81.88,68.26,36.4258,12.33
8,84.62,69.10,29.9554,12.41
9,84.62,67.70,30.3500,12.39
10,86.87,70.79,27.0131,12.41
11,87.85,70.22,23.8606,12.36
12,89.04,70.22,22.7275,12.26
13,89.82,71.35,21.0315,12.36
14,90.31,71.63,19.8065,12.32
15,91.08,70.51,18.4532,12.23
16,91.85,72.75,16.9950,12.27
17,92.35,71.63,15.5825,12.28
18,92.70,71.91,15.2843,12.32
19,93.47,73.03,14.2398,12.29
20,93.75,71.63,13.0204,12.23
