Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,59.53,50.33,177.1378,26.78
2,75.10,54.00,98.5091,26.76
3,82.20,53.11,74.9130,26.84
4,86.13,55.11,60.8945,26.84
5,88.77,57.67,50.6145,26.82
6,91.53,57.44,39.1465,26.76
7,92.97,60.22,33.6744,26.80
8,94.20,60.78,29.3140,26.75
9,94.83,60.00,25.5465,26.76
10,95.20,63.00,23.9657,26.75
11,95.27,63.89,22.1690,26.68
12,96.33,64.56,19.8284,26.74
13,96.67,64.67,16.3827,26.70
14,96.67,64.89,16.1146,26.72
15,97.43,65.56,13.9220,26.76
16,97.53,66.00,14.5000,26.79
17,97.87,67.22,10.9290,26.70
18,98.20,68.11,10.5375,26.78
19,98.20,68.11,12.1771,26.91
20,98.10,69.44,9.6020,26.84
