Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,52.06,61.05,65.7138,31.46
2,69.15,63.43,35.9959,30.92
3,73.97,63.19,29.9675,31.23
4,77.12,64.83,26.6924,31.20
5,79.07,65.57,24.5326,31.06
6,82.22,64.75,21.2082,31.18
7,81.65,66.15,21.4806,31.04
8,82.86,66.31,20.8604,31.20
9,85.09,67.46,17.4462,31.34
10,87.33,65.41,15.8850,31.26
11,86.70,67.05,15.6875,31.26
12,88.76,68.12,14.7739,31.28
13,89.11,67.71,13.6209,31.17
14,90.02,66.97,12.8305,31.30
15,90.54,67.38,11.8308,31.18
16,92.03,66.80,11.1567,31.10
