Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,53.38,51.77,76.9020,31.71
2,53.96,52.83,75.3580,31.37
3,54.93,55.79,74.2367,31.44
4,56.25,54.56,72.8046,31.36
5,59.12,56.37,69.8059,31.38
6,59.35,48.89,69.9909,31.23
7,57.86,53.74,70.3943,31.52
8,63.70,59.00,67.1674,31.27
9,65.48,58.42,65.4252,31.18
10,70.87,64.59,61.0500,31.20
11,75.00,62.12,56.5016,31.49
12,79.76,64.17,48.1741,31.30
13,83.49,64.67,42.4204,31.53
14,84.63,66.64,39.3996,31.29
15,86.98,67.54,33.7190,31.39
16,90.88,66.47,25.5962,31.53
17,91.74,70.34,24.7141,31.57
18,91.92,67.79,22.7971,32.02
19,92.55,68.94,20.5801,31.75
20,93.64,67.71,18.5275,31.60
