Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,51.20,51.44,83.5366,40.77
2,52.58,48.56,77.6710,40.60
3,55.05,54.56,75.4116,40.51
4,57.28,56.04,72.6569,40.53
5,61.24,52.10,71.0994,40.55
6,58.77,57.03,71.9204,40.42
7,64.62,57.85,67.2969,40.56
8,65.88,58.67,65.9656,40.79
9,68.81,59.08,62.8570,40.77
10,68.35,59.98,61.7606,40.82
11,71.56,58.59,58.7171,40.60
12,73.51,61.13,57.1755,40.77
13,75.80,60.39,52.6322,40.65
14,76.83,63.27,51.4651,40.70
15,80.05,61.38,45.5895,40.59
16,81.54,62.61,43.0767,40.73
17,82.45,60.56,41.9052,40.64
18,80.62,61.46,41.5731,40.59
