Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,55.68,60.97,38.3958,31.14
2,71.67,64.26,30.6915,30.58
3,77.18,67.05,25.4299,31.06
4,82.97,68.04,20.1790,30.94
5,85.44,69.19,16.7666,31.02
6,88.02,70.99,14.3705,31.20
7,89.39,70.50,12.8744,30.96
8,91.80,71.82,10.5103,31.00
9,92.32,70.67,9.2274,31.29
10,93.23,72.56,8.2878,31.28
11,93.46,67.95,8.8832,31.22
12,92.78,72.39,9.2250,30.99
13,94.38,73.46,6.3297,31.24
14,95.24,73.21,5.4564,31.48
15,95.87,73.05,5.1339,31.26
16,96.10,73.29,5.2987,31.17
17,96.90,72.97,4.1589,30.97
