Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,51.69,60.67,108.3791,12.17
2,68.19,64.61,61.8956,12.11
3,72.89,66.01,51.8432,12.16
4,76.19,67.13,45.5116,12.12
5,80.34,68.26,40.1146,12.10
6,80.55,67.42,37.5923,12.12
7,82.79,69.10,34.4290,12.12
8,83.71,69.94,30.9721,12.08
9,86.38,69.66,27.8814,12.12
10,87.29,70.22,26.1232,12.09
11,87.22,70.51,24.5613,12.12
12,88.41,72.75,24.5877,12.15
13,89.47,72.75,21.1552,12.09
14,90.03,72.19,20.4924,12.13
15,91.64,74.16,17.4921,12.13
16,91.85,73.88,17.3454,12.13
17,93.12,74.16,14.6710,12.09
18,93.26,73.31,14.2459,12.12
19,93.12,74.16,14.6683,12.10
