Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,51.40,52.81,67.3498,19.24
2,54.07,55.62,63.1535,19.17
3,57.30,50.56,62.8710,19.13
4,61.87,60.11,57.0729,19.11
5,58.57,61.52,57.7698,19.14
6,62.92,62.92,55.6306,19.17
7,65.87,58.15,53.8130,19.41
8,65.66,56.18,53.3944,19.22
9,68.47,58.43,50.3717,19.23
10,72.05,64.61,48.4004,19.20
11,72.61,66.57,47.5580,19.18
12,74.23,64.04,44.6216,19.20
13,76.47,68.54,42.8280,19.20
14,75.91,64.61,41.9124,19.17
15,77.60,66.01,39.2942,19.16
16,79.28,66.57,38.7394,19.23
17,80.13,66.29,37.6343,19.21
