Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,57.51,62.36,61.0172,12.70
2,74.72,74.72,47.1450,12.91
3,79.92,74.44,37.6957,12.88
4,85.11,77.81,29.2139,12.86
5,88.62,82.87,23.5245,12.90
6,89.04,79.21,23.1426,12.87
7,91.57,82.30,17.5559,12.97
8,93.40,84.55,15.0430,12.65
9,93.19,83.43,15.1625,12.83
10,95.58,85.67,10.8698,12.90
11,96.07,81.46,11.0732,12.91
12,95.79,82.58,10.0363,12.89
13,96.84,81.74,7.7477,12.88
14,96.98,87.36,6.6924,12.95
15,96.98,83.15,7.4672,12.64
16,97.33,83.15,7.1726,12.87
17,96.63,81.18,9.6931,12.83
18,98.46,81.74,4.4007,12.90
