Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,51.83,48.43,42.0555,36.83
2,55.62,48.43,37.3319,36.72
3,56.25,48.52,37.9034,36.84
4,52.92,51.21,38.1072,36.95
5,58.83,48.70,35.9455,36.91
6,58.14,55.15,35.8681,36.82
7,60.26,55.51,34.4073,36.83
8,66.06,61.77,33.2154,36.74
9,68.46,58.37,31.6037,36.77
10,70.87,64.10,29.7192,36.82
11,74.08,63.74,27.7997,36.73
12,76.49,61.59,25.6942,36.80
13,78.56,65.62,25.2076,36.84
14,82.28,62.85,22.0211,36.80
15,82.68,64.46,20.7690,36.77
16,82.80,61.32,19.7679,36.82
17,85.15,65.44,18.5360,36.95
