Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,52.04,51.69,71.1688,19.42
2,54.14,54.78,61.8328,19.36
3,56.81,50.00,61.8906,19.37
4,59.76,62.92,58.4234,19.38
5,60.53,62.92,58.9192,19.35
6,66.64,59.27,53.2017,19.36
7,66.50,63.76,52.7316,19.32
8,71.42,69.94,48.2414,19.32
9,71.14,68.26,47.6853,19.29
10,74.16,57.87,45.4674,19.34
11,74.72,70.79,42.2533,19.36
12,76.76,68.26,40.4646,19.32
13,80.83,71.07,36.9386,19.34
14,81.74,69.38,34.9798,19.32
15,83.08,67.70,32.7050,19.32
16,84.41,65.73,30.0869,19.42
17,86.59,70.22,25.7172,19.41
