Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,57.22,65.71,38.2752,29.23
2,74.08,66.70,29.1109,29.25
3,80.39,70.10,23.7802,29.12
4,82.28,69.83,20.1786,29.10
5,85.38,70.37,17.2703,28.99
6,87.96,73.14,13.3669,29.15
7,89.85,72.96,11.8800,29.07
8,91.00,72.69,10.7004,29.10
9,93.23,71.26,8.8285,29.08
10,93.00,73.41,8.6800,28.96
11,93.12,71.62,8.6928,29.16
12,92.37,75.29,9.9253,29.00
13,94.90,72.78,6.6547,29.19
14,95.58,75.74,5.1711,29.20
15,95.70,71.89,6.1761,29.15
16,96.10,74.13,5.6849,29.16
17,95.47,74.84,6.3800,29.23
18,95.99,74.13,5.2130,29.21
