Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,70.20,67.22,108.4162,27.70
2,86.40,72.33,62.0196,27.51
3,91.13,74.78,39.3533,27.46
4,93.93,73.89,29.4555,27.52
5,95.47,74.56,23.0583,27.50
6,95.73,75.22,22.0357,27.52
7,96.67,75.67,17.3890,27.40
8,97.63,76.00,13.4087,27.46
9,97.60,76.44,15.3519,27.44
10,97.07,75.78,16.6065,27.39
11,98.33,76.33,9.3693,27.36
12,98.70,79.11,7.6896,27.42
13,98.60,78.78,9.4363,27.46
14,98.90,76.56,7.0367,27.42
15,98.37,74.89,7.6675,27.45
16,98.87,79.78,7.0172,27.44
17,98.33,73.56,9.5331,27.52
18,98.73,81.11,8.1890,27.51
19,99.17,80.44,4.9226,27.45
20,99.17,81.56,4.7905,27.43
